# Actuation disk source
# Time              # Uref              # Cp                # Ct                # a                 # T                 # diskDir           
35                  (1.016067653024e+01 5.151986389708e-02 -6.366199680085e-02)	5.300000000000e-01	5.800000000000e-01	8.620689655172e-02	6.506165779147e+02	(1.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
36                  (1.017032023194e+01 5.314265666758e-02 -6.579634684992e-02)	5.300000000000e-01	5.800000000000e-01	8.620689655172e-02	6.518521904718e+02	(1.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
37                  (1.018014000540e+01 5.430158410145e-02 -6.819732260659e-02)	5.300000000000e-01	5.800000000000e-01	8.620689655172e-02	6.531115669516e+02	(1.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
38                  (1.019042150075e+01 5.519563416052e-02 -7.094128559877e-02)	5.300000000000e-01	5.800000000000e-01	8.620689655172e-02	6.544314612652e+02	(1.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
39                  (1.020145423794e+01 5.616448398253e-02 -7.385552720858e-02)	5.300000000000e-01	5.800000000000e-01	8.620689655172e-02	6.558492787337e+02	(1.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
40                  (1.021335901613e+01 5.742046775275e-02 -7.668545979925e-02)	5.300000000000e-01	5.800000000000e-01	8.620689655172e-02	6.573808830905e+02	(1.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
41                  (1.022600195937e+01 5.890343653146e-02 -7.930908748667e-02)	5.300000000000e-01	5.800000000000e-01	8.620689655172e-02	6.590094116373e+02	(1.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
42                  (1.023922358125e+01 6.037157313536e-02 -8.180277882534e-02)	5.300000000000e-01	5.800000000000e-01	8.620689655172e-02	6.607146344807e+02	(1.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
43                  (1.025298485830e+01 6.166424740926e-02 -8.431250418063e-02)	5.300000000000e-01	5.800000000000e-01	8.620689655172e-02	6.624917979472e+02	(1.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
44                  (1.026737413618e+01 6.279838709517e-02 -8.692970346461e-02)	5.300000000000e-01	5.800000000000e-01	8.620689655172e-02	6.643526156453e+02	(1.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
