# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 6.94400000e+01
# lRef          : 9.00000000e-01
# Aref          : 1.00000000e-01
# CofR          : (7.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
6200            	1.20534743e-01	6.02673716e-02	6.02673716e-02	7.23873299e-01	2.95500322e-01	4.28372977e-01	-6.64363274e-02	-1.06033165e-22	-2.57604878e-23	2.04277936e-21	9.95629190e-22	1.04715017e-21
6300            	1.20535084e-01	6.02675420e-02	6.02675420e-02	7.23983067e-01	2.95552379e-01	4.28430688e-01	-6.64391545e-02	-1.06034719e-22	-2.57576385e-23	2.04283377e-21	9.95659245e-22	1.04717452e-21
6400            	1.20535405e-01	6.02677026e-02	6.02677026e-02	7.24091195e-01	2.95603816e-01	4.28487379e-01	-6.64417819e-02	-1.06036249e-22	-2.57548465e-23	2.04288735e-21	9.95688826e-22	1.04719852e-21
6500            	1.20535708e-01	6.02678541e-02	6.02678541e-02	7.24197744e-01	2.95654649e-01	4.28543095e-01	-6.64442232e-02	-1.06037754e-22	-2.57521094e-23	2.04294012e-21	9.95717951e-22	1.04722217e-21
6600            	1.20535994e-01	6.02679971e-02	6.02679971e-02	7.24302769e-01	2.95704893e-01	4.28597876e-01	-6.64464912e-02	-1.06039236e-22	-2.57494248e-23	2.04299212e-21	9.95746636e-22	1.04724549e-21
6700            	1.20536264e-01	6.02681319e-02	6.02681319e-02	7.24406317e-01	2.95754561e-01	4.28651756e-01	-6.64485975e-02	-1.06040696e-22	-2.57467903e-23	2.04304337e-21	9.95774895e-22	1.04726848e-21
6800            	1.20536518e-01	6.02682592e-02	6.02682592e-02	7.24508437e-01	2.95803665e-01	4.28704772e-01	-6.64505534e-02	-1.06042135e-22	-2.57442037e-23	2.04309389e-21	9.95802744e-22	1.04729115e-21
6900            	1.20536759e-01	6.02683793e-02	6.02683793e-02	7.24609174e-01	2.95852218e-01	4.28756956e-01	-6.64523690e-02	-1.06043553e-22	-2.57416630e-23	2.04314372e-21	9.95830195e-22	1.04731352e-21
7000            	1.20536985e-01	6.02684927e-02	6.02684927e-02	7.24708569e-01	2.95900231e-01	4.28808338e-01	-6.64540537e-02	-1.06044950e-22	-2.57391666e-23	2.04319285e-21	9.95857261e-22	1.04733559e-21
7100            	1.20537200e-01	6.02685998e-02	6.02685998e-02	7.24806664e-01	2.95947716e-01	4.28858948e-01	-6.64556163e-02	-1.06046328e-22	-2.57367124e-23	2.04324133e-21	9.95883954e-22	1.04735738e-21
7200            	1.20537411e-01	6.02687053e-02	6.02687053e-02	7.24908905e-01	2.95997325e-01	4.28911580e-01	-6.64571278e-02	-1.06047763e-22	-2.57341918e-23	2.04329165e-21	9.95911632e-22	1.04738002e-21
7300            	1.20537616e-01	6.02688081e-02	6.02688081e-02	7.25013452e-01	2.96048107e-01	4.28965346e-01	-6.64586194e-02	-1.06049227e-22	-2.57315784e-23	2.04334340e-21	9.95940120e-22	1.04740328e-21
7400            	1.20537811e-01	6.02689053e-02	6.02689053e-02	7.25117783e-01	2.96098873e-01	4.29018910e-01	-6.64600189e-02	-1.06050690e-22	-2.57290161e-23	2.04339476e-21	9.95968366e-22	1.04742640e-21
7500            	1.20537993e-01	6.02689967e-02	6.02689967e-02	7.25219805e-01	2.96148593e-01	4.29071212e-01	-6.64613092e-02	-1.06052117e-22	-2.57264620e-23	2.04344536e-21	9.95996216e-22	1.04744914e-21
7600            	1.20538167e-01	6.02690835e-02	6.02690835e-02	7.25321470e-01	2.96198214e-01	4.29123256e-01	-6.64625212e-02	-1.06053540e-22	-2.57239754e-23	2.04349541e-21	9.96023732e-22	1.04747168e-21
7700            	1.20538330e-01	6.02691648e-02	6.02691648e-02	7.25421282e-01	2.96247022e-01	4.29174260e-01	-6.64636190e-02	-1.06054935e-22	-2.57215112e-23	2.04354474e-21	9.96050857e-22	1.04749388e-21
7800            	1.20538483e-01	6.02692416e-02	6.02692416e-02	7.25519341e-01	2.96295029e-01	4.29224312e-01	-6.64646417e-02	-1.06056305e-22	-2.57191116e-23	2.04359309e-21	9.96077432e-22	1.04751566e-21
7900            	1.20538630e-01	6.02693149e-02	6.02693149e-02	7.25617135e-01	2.96342999e-01	4.29274136e-01	-6.64655687e-02	-1.06057671e-22	-2.57167282e-23	2.04364127e-21	9.96103907e-22	1.04753736e-21
8000            	1.20538768e-01	6.02693840e-02	6.02693840e-02	7.25714542e-01	2.96390823e-01	4.29323719e-01	-6.64664480e-02	-1.06059031e-22	-2.57143891e-23	2.04368906e-21	9.96130141e-22	1.04755892e-21
8100            	1.20538893e-01	6.02694467e-02	6.02694467e-02	7.25810997e-01	2.96438271e-01	4.29372726e-01	-6.64672275e-02	-1.06060376e-22	-2.57120480e-23	2.04373660e-21	9.96156251e-22	1.04758035e-21
8200            	1.20539016e-01	6.02695082e-02	6.02695082e-02	7.25907520e-01	2.96485795e-01	4.29421724e-01	-6.64679645e-02	-1.06061720e-22	-2.57096992e-23	2.04378422e-21	9.96182410e-22	1.04760181e-21
8300            	1.20539133e-01	6.02695665e-02	6.02695665e-02	7.26002186e-01	2.96532438e-01	4.29469748e-01	-6.64686549e-02	-1.06063037e-22	-2.57073907e-23	2.04383098e-21	9.96208098e-22	1.04762288e-21
8400            	1.20539242e-01	6.02696208e-02	6.02696208e-02	7.26095907e-01	2.96578683e-01	4.29517224e-01	-6.64692707e-02	-1.06064341e-22	-2.57051308e-23	2.04387712e-21	9.96233429e-22	1.04764369e-21
8500            	1.20539345e-01	6.02696727e-02	6.02696727e-02	7.26188385e-01	2.96624360e-01	4.29564025e-01	-6.64698325e-02	-1.06065628e-22	-2.57029047e-23	2.04392264e-21	9.96258415e-22	1.04766422e-21
8600            	1.20539439e-01	6.02697197e-02	6.02697197e-02	7.26281005e-01	2.96670164e-01	4.29610840e-01	-6.64703380e-02	-1.06066917e-22	-2.57007206e-23	2.04396794e-21	9.96283248e-22	1.04768469e-21
8700            	1.20539533e-01	6.02697666e-02	6.02697666e-02	7.26371392e-01	2.96714902e-01	4.29656490e-01	-6.64707939e-02	-1.06068172e-22	-2.56985411e-23	2.04401249e-21	9.96307703e-22	1.04770479e-21
