# Region type : functionObjectSurface sampled.plane1
# Faces       : 986
# Area        : 3.081250e-03
# Scale factor: 1.000000e+00
# Weight field: rhoU
# Time        	weightedUniformity(p)	weightedUniformity(U)	weightedUniformity(rhoU)
195           	9.804445e-01	9.966480e-01	9.966480e-01
196           	9.804997e-01	9.966474e-01	9.966474e-01
197           	9.805299e-01	9.966481e-01	9.966481e-01
198           	9.805755e-01	9.966476e-01	9.966476e-01
199           	9.805895e-01	9.966479e-01	9.966479e-01
200           	9.806336e-01	9.966474e-01	9.966474e-01
201           	9.806345e-01	9.966482e-01	9.966482e-01
202           	9.806636e-01	9.966476e-01	9.966476e-01
203           	9.807048e-01	9.966481e-01	9.966481e-01
204           	9.807486e-01	9.966473e-01	9.966473e-01
205           	9.808007e-01	9.966482e-01	9.966482e-01
206           	9.808340e-01	9.966474e-01	9.966474e-01
207           	9.808627e-01	9.966480e-01	9.966480e-01
208           	9.808857e-01	9.966472e-01	9.966472e-01
209           	9.809087e-01	9.966482e-01	9.966482e-01
210           	9.809316e-01	9.966474e-01	9.966474e-01
211           	9.809491e-01	9.966480e-01	9.966480e-01
212           	9.809779e-01	9.966472e-01	9.966472e-01
213           	9.810044e-01	9.966482e-01	9.966482e-01
214           	9.810317e-01	9.966474e-01	9.966474e-01
215           	9.810733e-01	9.966480e-01	9.966480e-01
216           	9.811062e-01	9.966472e-01	9.966472e-01
217           	9.811494e-01	9.966482e-01	9.966482e-01
218           	9.811806e-01	9.966474e-01	9.966474e-01
219           	9.812106e-01	9.966480e-01	9.966480e-01
220           	9.812638e-01	9.966473e-01	9.966473e-01
221           	9.813056e-01	9.966482e-01	9.966482e-01
222           	9.813288e-01	9.966474e-01	9.966474e-01
223           	9.813577e-01	9.966480e-01	9.966480e-01
224           	9.814013e-01	9.966473e-01	9.966473e-01
225           	9.814261e-01	9.966482e-01	9.966482e-01
226           	9.814503e-01	9.966474e-01	9.966474e-01
227           	9.814739e-01	9.966481e-01	9.966481e-01
228           	9.815096e-01	9.966474e-01	9.966474e-01
229           	9.815390e-01	9.966483e-01	9.966483e-01
230           	9.815617e-01	9.966475e-01	9.966475e-01
231           	9.815856e-01	9.966481e-01	9.966481e-01
232           	9.816226e-01	9.966474e-01	9.966474e-01
233           	9.816354e-01	9.966483e-01	9.966483e-01
234           	9.816496e-01	9.966475e-01	9.966475e-01
235           	9.816591e-01	9.966481e-01	9.966481e-01
236           	9.816844e-01	9.966474e-01	9.966474e-01
237           	9.817129e-01	9.966483e-01	9.966483e-01
238           	9.817423e-01	9.966475e-01	9.966475e-01
239           	9.817549e-01	9.966481e-01	9.966481e-01
240           	9.817724e-01	9.966473e-01	9.966473e-01
241           	9.817914e-01	9.966483e-01	9.966483e-01
242           	9.818498e-01	9.966476e-01	9.966476e-01
243           	9.818547e-01	9.966481e-01	9.966481e-01
244           	9.818665e-01	9.966473e-01	9.966473e-01
245           	9.818740e-01	9.966483e-01	9.966483e-01
246           	9.819011e-01	9.966475e-01	9.966475e-01
247           	9.819181e-01	9.966481e-01	9.966481e-01
248           	9.819344e-01	9.966472e-01	9.966472e-01
249           	9.819419e-01	9.966483e-01	9.966483e-01
250           	9.819474e-01	9.966474e-01	9.966474e-01
251           	9.819486e-01	9.966481e-01	9.966481e-01
252           	9.819517e-01	9.966471e-01	9.966471e-01
253           	9.819521e-01	9.966483e-01	9.966483e-01
254           	9.819542e-01	9.966473e-01	9.966473e-01
255           	9.819516e-01	9.966481e-01	9.966481e-01
256           	9.819510e-01	9.966471e-01	9.966471e-01
257           	9.819472e-01	9.966482e-01	9.966482e-01
258           	9.819506e-01	9.966473e-01	9.966473e-01
259           	9.819468e-01	9.966481e-01	9.966481e-01
260           	9.819471e-01	9.966471e-01	9.966471e-01
261           	9.819445e-01	9.966483e-01	9.966483e-01
262           	9.819470e-01	9.966473e-01	9.966473e-01
263           	9.819456e-01	9.966480e-01	9.966480e-01
264           	9.819494e-01	9.966471e-01	9.966471e-01
265           	9.819493e-01	9.966482e-01	9.966482e-01
266           	9.819517e-01	9.966473e-01	9.966473e-01
267           	9.819512e-01	9.966481e-01	9.966481e-01
268           	9.819563e-01	9.966471e-01	9.966471e-01
269           	9.819596e-01	9.966482e-01	9.966482e-01
270           	9.819694e-01	9.966473e-01	9.966473e-01
271           	9.819783e-01	9.966480e-01	9.966480e-01
272           	9.819930e-01	9.966471e-01	9.966471e-01
273           	9.820064e-01	9.966483e-01	9.966483e-01
274           	9.820206e-01	9.966473e-01	9.966473e-01
275           	9.820328e-01	9.966481e-01	9.966481e-01
276           	9.820426e-01	9.966471e-01	9.966471e-01
277           	9.820524e-01	9.966482e-01	9.966482e-01
278           	9.820615e-01	9.966472e-01	9.966472e-01
279           	9.820677e-01	9.966481e-01	9.966481e-01
280           	9.820734e-01	9.966471e-01	9.966471e-01
281           	9.820778e-01	9.966482e-01	9.966482e-01
282           	9.820817e-01	9.966472e-01	9.966472e-01
283           	9.820844e-01	9.966481e-01	9.966481e-01
284           	9.820883e-01	9.966471e-01	9.966471e-01
285           	9.820879e-01	9.966483e-01	9.966483e-01
286           	9.820902e-01	9.966473e-01	9.966473e-01
287           	9.820895e-01	9.966481e-01	9.966481e-01
288           	9.820908e-01	9.966471e-01	9.966471e-01
289           	9.820853e-01	9.966482e-01	9.966482e-01
