# Region type : functionObjectSurface sampled.plane1
# Faces       : 986
# Area        : 3.081250e-03
# Scale factor: 1.000000e+00
# Weight field: rhoU
# Time        	weightedAreaIntegrate(p)	weightedAreaIntegrate(pTotal)
450           	-1.478729e+00	-4.253518e+00
451           	-1.478777e+00	-4.253572e+00
452           	-1.478647e+00	-4.253414e+00
453           	-1.478702e+00	-4.253478e+00
454           	-1.478585e+00	-4.253337e+00
455           	-1.478653e+00	-4.253417e+00
456           	-1.478551e+00	-4.253294e+00
457           	-1.478628e+00	-4.253385e+00
458           	-1.478535e+00	-4.253276e+00
459           	-1.478617e+00	-4.253373e+00
460           	-1.478533e+00	-4.253272e+00
461           	-1.478620e+00	-4.253376e+00
462           	-1.478532e+00	-4.253271e+00
463           	-1.478622e+00	-4.253378e+00
464           	-1.478538e+00	-4.253279e+00
465           	-1.478623e+00	-4.253380e+00
466           	-1.478536e+00	-4.253276e+00
467           	-1.478622e+00	-4.253378e+00
468           	-1.478533e+00	-4.253272e+00
469           	-1.478614e+00	-4.253368e+00
470           	-1.478520e+00	-4.253257e+00
471           	-1.478599e+00	-4.253350e+00
472           	-1.478507e+00	-4.253240e+00
473           	-1.478584e+00	-4.253331e+00
474           	-1.478486e+00	-4.253214e+00
475           	-1.478563e+00	-4.253305e+00
476           	-1.478469e+00	-4.253193e+00
477           	-1.478547e+00	-4.253284e+00
478           	-1.478448e+00	-4.253166e+00
479           	-1.478526e+00	-4.253259e+00
480           	-1.478436e+00	-4.253151e+00
481           	-1.478514e+00	-4.253244e+00
482           	-1.478421e+00	-4.253132e+00
483           	-1.478503e+00	-4.253230e+00
484           	-1.478415e+00	-4.253125e+00
485           	-1.478500e+00	-4.253226e+00
486           	-1.478411e+00	-4.253121e+00
487           	-1.478499e+00	-4.253225e+00
488           	-1.478418e+00	-4.253129e+00
489           	-1.478505e+00	-4.253233e+00
490           	-1.478422e+00	-4.253134e+00
491           	-1.478511e+00	-4.253240e+00
492           	-1.478433e+00	-4.253147e+00
493           	-1.478522e+00	-4.253254e+00
494           	-1.478438e+00	-4.253154e+00
495           	-1.478528e+00	-4.253260e+00
496           	-1.478446e+00	-4.253163e+00
497           	-1.478534e+00	-4.253268e+00
498           	-1.478447e+00	-4.253165e+00
499           	-1.478533e+00	-4.253267e+00
500           	-1.478449e+00	-4.253168e+00
