# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	U_converged     	nuTilda_solver  	nuTilda_initial 	nuTilda_final   	nuTilda_iters   	nuTilda_converged	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
83              	DILUPBiCGStab	3.89653880e-04	2.11547750e-09	5	2.44772240e-03	6.97062350e-09	5	false	DILUPBiCGStab	2.11442220e-03	5.49431250e-09	3	true	GAMG	1.91738880e-03	1.75316210e-04	2	true
84              	DILUPBiCGStab	3.89506140e-04	1.65035710e-09	5	2.37743110e-03	7.17184660e-09	5	false	DILUPBiCGStab	2.13284930e-03	5.23691660e-09	3	true	GAMG	1.85855080e-03	1.66402950e-04	2	true
85              	DILUPBiCGStab	3.85885070e-04	8.40034260e-09	4	2.30071120e-03	7.05508650e-09	5	false	DILUPBiCGStab	2.14925030e-03	4.97163210e-09	3	true	GAMG	1.81521100e-03	1.58101480e-04	2	true
86              	DILUPBiCGStab	3.86697130e-04	5.56294230e-09	4	2.23314400e-03	7.23891770e-09	5	false	DILUPBiCGStab	2.17075010e-03	4.72388620e-09	3	true	GAMG	1.78224400e-03	1.51332270e-04	2	true
87              	DILUPBiCGStab	3.84132080e-04	4.50635970e-09	4	2.16585060e-03	6.93679430e-09	5	false	DILUPBiCGStab	2.19004910e-03	4.51556490e-09	3	true	GAMG	1.75877470e-03	1.45955110e-04	2	true
88              	DILUPBiCGStab	3.85687100e-04	3.94504390e-09	4	2.10864200e-03	6.78354740e-09	5	false	DILUPBiCGStab	2.21363760e-03	4.30692430e-09	3	true	GAMG	1.73629310e-03	1.41584950e-04	2	true
89              	DILUPBiCGStab	3.83536200e-04	3.60103170e-09	4	2.04974620e-03	5.94044810e-09	5	false	DILUPBiCGStab	2.23485550e-03	4.11914170e-09	3	true	GAMG	1.71518150e-03	1.38097990e-04	2	true
90              	DILUPBiCGStab	3.85258760e-04	3.36229420e-09	4	1.99877640e-03	5.28946150e-09	5	false	DILUPBiCGStab	2.25975940e-03	3.97070950e-09	3	true	GAMG	1.69298180e-03	1.37314610e-04	2	true
91              	DILUPBiCGStab	3.83144530e-04	3.17880610e-09	4	1.94390870e-03	4.48933250e-09	5	false	DILUPBiCGStab	2.28215230e-03	3.84111520e-09	3	true	GAMG	1.66913290e-03	1.37203970e-04	2	true
92              	DILUPBiCGStab	3.84741770e-04	3.02776030e-09	4	1.89612620e-03	4.00700080e-09	5	false	DILUPBiCGStab	2.30750940e-03	3.72630150e-09	3	true	GAMG	1.64442190e-03	1.36937880e-04	2	true
93              	DILUPBiCGStab	3.82586420e-04	2.89910590e-09	4	1.84408190e-03	3.61844450e-09	5	false	DILUPBiCGStab	2.33002040e-03	3.64704600e-09	3	true	GAMG	1.61969310e-03	1.36231520e-04	2	true
94              	DILUPBiCGStab	3.84281190e-04	2.78274010e-09	4	1.79924520e-03	3.43263870e-09	5	false	DILUPBiCGStab	2.35506430e-03	3.59161720e-09	3	true	GAMG	1.59408360e-03	1.35191160e-04	2	true
95              	DILUPBiCGStab	3.82223180e-04	2.69061560e-09	4	1.75027660e-03	3.33441620e-09	5	false	DILUPBiCGStab	2.37709430e-03	3.54942840e-09	3	true	GAMG	1.57120270e-03	1.33680210e-04	2	true
96              	DILUPBiCGStab	3.83966010e-04	2.60980980e-09	4	1.70846620e-03	3.39102780e-09	5	false	DILUPBiCGStab	2.40115640e-03	3.49509610e-09	3	true	GAMG	1.54975190e-03	1.31884180e-04	2	true
97              	DILUPBiCGStab	3.82029900e-04	2.54326630e-09	4	1.66229540e-03	3.55254700e-09	5	false	DILUPBiCGStab	2.42209620e-03	3.44374650e-09	3	true	GAMG	1.53104940e-03	1.29926380e-04	2	true
98              	DILUPBiCGStab	3.83977930e-04	2.48569400e-09	4	1.62303310e-03	3.93432490e-09	5	false	DILUPBiCGStab	2.44462780e-03	3.39510290e-09	3	true	GAMG	1.51405940e-03	1.27981970e-04	2	true
99              	DILUPBiCGStab	3.82237470e-04	2.43993360e-09	4	1.57959480e-03	4.61181150e-09	5	false	DILUPBiCGStab	2.46392540e-03	3.35019610e-09	3	true	GAMG	1.49708190e-03	1.26062930e-04	2	true
100             	DILUPBiCGStab	3.84335140e-04	2.39953990e-09	4	1.54342190e-03	6.05124530e-09	5	false	DILUPBiCGStab	2.48453660e-03	3.29965790e-09	3	true	GAMG	1.47872070e-03	1.24286950e-04	2	true
