# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 6.94400000e+01
# lRef          : 9.00000000e-01
# Aref          : 1.00000000e-01
# CofR          : (7.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
5400            	1.13924280e-01	5.69621400e-02	5.69621400e-02	7.33341184e-01	3.05969787e-01	4.27371397e-01	-6.07008054e-02	-1.22636028e-22	2.54454835e-23	2.56529625e-21	1.30809361e-21	1.25720264e-21
5500            	1.13924363e-01	5.69621817e-02	5.69621817e-02	7.33272678e-01	3.05934257e-01	4.27338422e-01	-6.07020824e-02	-1.22635049e-22	2.54444989e-23	2.56526489e-21	1.30807694e-21	1.25718794e-21
5600            	1.13924444e-01	5.69622218e-02	5.69622218e-02	7.33205858e-01	3.05899637e-01	4.27306222e-01	-6.07032925e-02	-1.22634094e-22	2.54435375e-23	2.56523431e-21	1.30806069e-21	1.25717362e-21
5700            	1.13924520e-01	5.69622602e-02	5.69622602e-02	7.33140701e-01	3.05865905e-01	4.27274796e-01	-6.07044456e-02	-1.22633164e-22	2.54425988e-23	2.56520450e-21	1.30804485e-21	1.25715965e-21
5800            	1.13924594e-01	5.69622972e-02	5.69622972e-02	7.33077175e-01	3.05833040e-01	4.27244135e-01	-6.07055474e-02	-1.22632257e-22	2.54416827e-23	2.56517545e-21	1.30802941e-21	1.25714604e-21
5900            	1.13924665e-01	5.69623327e-02	5.69623327e-02	7.33015244e-01	3.05801020e-01	4.27214224e-01	-6.07066023e-02	-1.22631373e-22	2.54407887e-23	2.56514714e-21	1.30801436e-21	1.25713278e-21
6000            	1.13924734e-01	5.69623670e-02	5.69623670e-02	7.32954870e-01	3.05769821e-01	4.27185049e-01	-6.07076138e-02	-1.22630512e-22	2.54399163e-23	2.56511955e-21	1.30799969e-21	1.25711986e-21
6100            	1.13924800e-01	5.69623999e-02	5.69623999e-02	7.32896018e-01	3.05739424e-01	4.27156594e-01	-6.07085848e-02	-1.22629673e-22	2.54390652e-23	2.56509266e-21	1.30798540e-21	1.25710727e-21
6200            	1.13924863e-01	5.69624317e-02	5.69624317e-02	7.32838656e-01	3.05709810e-01	4.27128846e-01	-6.07095178e-02	-1.22628855e-22	2.54382348e-23	2.56506646e-21	1.30797146e-21	1.25709499e-21
6300            	1.13924925e-01	5.69624623e-02	5.69624623e-02	7.32782747e-01	3.05680959e-01	4.27101789e-01	-6.07104149e-02	-1.22628058e-22	2.54374248e-23	2.56504093e-21	1.30795789e-21	1.25708304e-21
6400            	1.13924984e-01	5.69624919e-02	5.69624919e-02	7.32728260e-01	3.05652852e-01	4.27075408e-01	-6.07112781e-02	-1.22627282e-22	2.54366348e-23	2.56501605e-21	1.30794466e-21	1.25707139e-21
